isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
0,KRW,896.00,1450.20,"2025-02-06 10:42:00",USD
0,KRW,298.00,1450.50,"2025-02-06 10:42:08",USD
1,JPY,10000.00,950.83,"2025-02-06 11:12:43",JPY
1,JPY,10000.00,952.66,"2025-02-06 12:11:01",JPY
1,USD,405.00,1450.90,"2025-02-06 12:23:03",USD
0,KRW,805.00,1451.20,"2025-02-06 13:26:12",USD
0,KRW,757.00,1450.60,"2025-02-06 13:36:10",USD
1,JPY,10000.00,952.24,"2025-02-06 13:36:54",JPY
0,KRW,760.00,1450.99,"2025-02-06 13:37:01",USD
0,KRW,405.00,1450.20,"2025-02-06 13:51:23",USD
1,JPY,10000.00,953.00,"2025-02-06 13:51:45",JPY
1,JPY,10008.00,953.16,"2025-02-06 14:01:01",JPY
1,JPY,23202.00,956.73,"2025-02-06 23:51:01",JPY
0,KRW,153.00,1447.40,"2025-02-06 23:53:45",USD
1,JPY,24369.00,956.97,"2025-02-07 00:01:04",JPY
1,JPY,31823.00,956.58,"2025-02-07 00:11:01",JPY
1,JPY,2846.00,956.77,"2025-02-07 00:16:10",JPY
1,JPY,28568.00,957.10,"2025-02-07 00:21:01",JPY
1,JPY,22456.00,957.60,"2025-02-07 00:31:01",JPY
1,JPY,23711.00,957.34,"2025-02-07 00:36:12",JPY
1,JPY,25265.00,957.70,"2025-02-07 00:41:01",JPY
1,JPY,12721.00,957.70,"2025-02-07 00:41:01",JPY
0,KRW,840.00,1447.10,"2025-02-07 00:52:06",USD
1,JPY,30922.00,957.19,"2025-02-07 00:56:09",JPY
1,JPY,23274.00,957.41,"2025-02-07 01:01:01",JPY
1,USD,712.00,1447.40,"2025-02-07 01:04:39",USD
1,USD,767.00,1447.30,"2025-02-07 01:15:44",USD
1,USD,433.00,1448.10,"2025-02-07 01:16:11",USD
1,USD,128.00,1448.10,"2025-02-07 01:16:26",USD
0,KRW,20000.00,955.27,"2025-02-07 01:53:50",JPY
0,KRW,579.00,1447.60,"2025-02-07 01:56:10",USD
1,JPY,12331.00,955.35,"2025-02-07 01:56:50",JPY
0,KRW,39282.00,954.94,"2025-02-07 02:01:01",JPY
0,KRW,35631.00,954.31,"2025-02-07 02:16:11",JPY
0,KRW,17418.00,954.21,"2025-02-07 02:26:09",JPY
0,KRW,15000.00,954.59,"2025-02-07 02:37:50",JPY
0,KRW,816.00,1447.90,"2025-02-07 02:43:31",USD
0,KRW,184.00,1447.90,"2025-02-07 02:43:31",USD
1,JPY,15000.00,955.12,"2025-02-07 03:22:00",JPY
0,KRW,30000.00,954.52,"2025-02-07 03:57:10",JPY
1,JPY,30000.00,954.72,"2025-02-07 04:05:47",JPY
0,KRW,30000.00,954.92,"2025-02-07 04:21:29",JPY
