2025-02-24 15:15:25,050 - INFO - 매수 거래량: 45215.0, 매도 거래량: 39884.0
2025-02-24 15:15:25,050 - INFO - 매수 수익: 316505.0, 매도 수익: 279188.0
2025-02-24 15:15:27,535 - INFO - 조건: (date_window: 5, adjustment: 8.0)
2025-02-24 15:15:27,535 - INFO - 매수 거래량: 42027.0, 매도 거래량: 33475.0
2025-02-24 15:15:27,535 - INFO - 매수 수익: 336216.0, 매도 수익: 267800.0
2025-02-24 15:15:29,824 - INFO - 조건: (date_window: 5, adjustment: 9.0)
2025-02-24 15:15:29,824 - INFO - 매수 거래량: 36693.0, 매도 거래량: 31667.0
2025-02-24 15:15:29,824 - INFO - 매수 수익: 330237.0, 매도 수익: 285003.0
2025-02-24 15:15:31,941 - INFO - 조건: (date_window: 5, adjustment: 10.0)
2025-02-24 15:15:31,941 - INFO - 매수 거래량: 26274.0, 매도 거래량: 30013.0
